longitude, Latitude ,population,travelTime
-0.930417,11.1646, 0, 0
-0.91375,11.1646, 0, 0
-0.897083,11.1646, 0, 0
-0.880417,11.1646, 0, 0
-0.86375,11.1646, 0, 0
-0.847083,11.1646, 0, 0
-0.830417,11.1646, 0, 0
-0.81375,11.1646, 0, 0
-0.797083,11.1646, 0, 0
-0.780417,11.1646, 0, 0
-0.76375,11.1646, 0, 0
-0.747083,11.1646, 0, 0
-0.730417,11.1646, 0, 0
-0.71375,11.1646, 0, 0
-0.697083,11.1646, 0, 0
-0.680417,11.1646, 0, 0
-0.66375,11.1646, 0, 0
-0.647083,11.1646, 0, 0
-0.630417,11.1646, 0, 0
-0.61375,11.1646, 0, 0
-0.597083,11.1646, 0, 0
-0.580417,11.1646, 0, 0
-0.56375,11.1646, 0, 0
-0.547083,11.1646, 0, 0
-0.530417,11.1646, 0, 0
-0.51375,11.1646, 0, 0
-0.497083,11.1646, 0, 0
-0.480417,11.1646, 0, 0
-0.46375,11.1646, 0, 0
-0.447083,11.1646, 0, 0
-0.430417,11.1646, 0, 0
-0.41375,11.1646, 0, 0
-0.397083,11.1646, 0, 0
-0.380417,11.1646, 0, 0
-0.36375,11.1646, 0, 0
-0.347083,11.1646, 0, 0
-0.330417,11.1646, 0, 0
-0.31375,11.1646, 0, 0
-0.297083,11.1646, 0, 0
-0.280417,11.1646, 168.853, 0
-0.26375,11.1646, 316.327, 0
-0.247083,11.1646, 195.648, 0
-0.230417,11.1646, 142.932, 0
-0.21375,11.1646, 49.5778, 0
-0.197083,11.1646, 0, 0
-0.180417,11.1646, 0, 0
-0.16375,11.1646, 0, 0
-0.147083,11.1646, 0, 0
-0.130417,11.1646, 0, 0
-0.11375,11.1646, 0, 0
-0.0970833,11.1646, 0, 0
-0.0804166,11.1646, 0, 0
-0.06375,11.1646, 0, 0
-0.0470833,11.1646, 0, 0
-0.0304167,11.1646, 0, 0
-0.01375,11.1646, 0, 0
0.00291668,11.1646, 0, 0
0.0195833,11.1646, 0, 0
0.03625,11.1646, 0, 0
0.0529167,11.1646, 0, 0
0.0695833,11.1646, 0, 0
0.08625,11.1646, 0, 0
0.102917,11.1646, 0, 0
0.119583,11.1646, 0, 0
0.13625,11.1646, 0, 0
0.152917,11.1646, 0, 0
0.169583,11.1646, 0, 0
0.18625,11.1646, 0, 0
0.202917,11.1646, 0, 0
