"month","year","cumSurvival","mortality","cumMortality"
8,5.66666666666667,0.392571108117127,0.00342311889155106,0.607428891882873
9,5.75,0.389220526915157,0.00335058120197074,0.610779473084843
10,5.83333333333333,0.385940586672199,0.00327994024295747,0.614059413327801
11,5.91666666666667,0.382729450450816,0.00321113622138341,0.617270549549184
12,6,0.379585338914694,0.00314411153612126,0.620414661085306
1,6.08333333333333,0.376506528227452,0.00307881068724281,0.623493471772548
2,6.16666666666667,0.37349134803807,0.00301518018938174,0.62650865196193
3,6.25,0.370538179549009,0.00295316848906102,0.629461820450991
4,6.33333333333333,0.367645453663231,0.00289272588577821,0.632354546336769
5,6.41666666666667,0.364811649206562,0.00283380445666881,0.635188350793438
6,6.5,0.362035291221997,0.00277635798456499,0.637964708778003
7,6.58333333333333,0.359314949332713,0.00272034188928422,0.640685050667287
8,6.66666666666667,0.356649236170721,0.00266571316199155,0.643350763829279
9,6.75,0.354036805868241,0.0026124303024801,0.645963194131759
10,6.83333333333333,0.351476352609009,0.0025604532592316,0.648523647390991
11,6.91666666666667,0.348966609236889,0.00250974337212073,0.651033390763111
12,7,0.346506345919253,0.00246026331763566,0.653493654080747
1,7.08333333333333,0.344094368862759,0.0024119770564941,0.655905631137241
2,7.16666666666667,0.341729519079219,0.00236484978353951,0.658270480920781
3,7.25,0.339410671199411,0.00231884787980846,0.660589328800589
4,7.33333333333333,0.337136732332742,0.00227393886666916,0.662863267667258
5,7.41666666666667,0.334906640970815,0.0022300913619272,0.665093359029185
6,7.5,0.332719365933002,0.00218727503781241,0.667280634066998
7,7.58333333333333,0.330573905352248,0.00214546058075382,0.669426094647752
8,7.66666666666667,0.328469285699386,0.00210461965286213,0.671530714300614
9,7.75,0.326404560844348,0.00206472485503839,0.673595439155652
10,7.83333333333333,0.324378811152713,0.00202574969163433,0.675621188847287
11,7.91666666666667,0.32239114261612,0.00198766853659388,0.67760885738388
12,8,0.320440686015115,0.00195045660100501,0.679559313984885
1,8.08333333333333,0.318526596113114,0.00191408990200109,0.681473403886886
2,8.16666666666667,0.316648050880167,0.00187854523294628,0.683351949119833
3,8.25,0.314804250745317,0.00184380013485053,0.685195749254683
4,8.33333333333333,0.312994417876361,0.00180983286895542,0.687005582123639
5,8.41666666666667,0.31121779548592,0.00177662239044102,0.68878220451408
6,8.5,0.309473647162721,0.00174414832319975,0.690526352837279
7,8.58333333333333,0.307761256227086,0.0017123909356348,0.692238743772914
8,8.66666666666667,0.306079925109653,0.00168133111743246,0.693920074890347
9,8.75,0.304428974752386,0.00165095035726776,0.695571025247614
10,8.83333333333333,0.302807744030982,0.00162123072140324,0.697192255969018
11,8.91666666666667,0.301215589197844,0.00159215483313851,0.698784410802156
12,9,0.299651883344768,0.00156370585307614,0.700348116655232
1,9.08333333333333,0.2981160158846,0.00153586746016754,0.7018839841154
2,9.16666666666667,0.296607392051096,0.00150862383350364,0.703392607948904
3,9.25,0.295125432416276,0.00148195963482023,0.704874567583724
4,9.33333333333333,0.29366957242459,0.0014558599916859,0.70633042757541
5,9.41666666666667,0.292239261943246,0.00143031048134412,0.707760738056754
6,9.5,0.290833964828068,0.00140529711517862,0.709166035171932
7,9.58333333333333,0.289453158504285,0.00138080632378207,0.710546841495715
8,9.66666666666667,0.288096333561691,0.00135682494259404,0.711903666438308
9,9.75,0.2867629933636,0.00133334019809145,0.7132370066364
10,9.83333333333333,0.285452653669097,0.00131033969450334,0.714547346330903
11,9.91666666666667,0.284164842268065,0.00128781140103162,0.715835157731935
12,10,0.282899098628512,0.00126574363955295,0.717100901371488
